Record Date,Parent ID,Classification ID,Classification Description,Current Month Net Transaction Amount,Fiscal Year to Date Net Transaction Amount,Prior Fiscal Year to Date Net Transaction Amount,Beginning Year Account Balance Amount,Beginning Month Account Balance Amount,Closing Month Account Balance Amount,Table Number,Source Line Number,Print Order Sequence Number,Line Code Number,Data Type Code,Record Type Code,Sequence Level Number,Sequence Number Code,Fiscal Year,Fiscal Quarter Number,Calendar Year,Calendar Quarter Number,Calendar Month Number,Calendar Day Number
2024-11-30,55362743,55362753,Deduct:,null,null,null,null,null,null,6,12,12,9200,S,GL,3,1.1.4,2025,1,2024,4,11,30
2024-11-30,null,55362844,Transactions Not Applied to Current Year's Surplus or Deficit (See Schedule A for Details),1341215881.77,1228260090.80,420501863.41,0.00,-112955790.97,1228260090.80,6,48,48,9624,D,GL,1,4,2025,1,2024,4,11,30
2024-11-30,null,55362846,Total Budget and Off-Budget Federal Entities (Financing of Deficit (+) or Disposition of Surplus (-)),366763064368.07,624213407559.98,380575553416.82,25816807109374.60,26074257452566.50,26441020516934.50,6,49,49,9661,T,GL,1,5,2025,1,2024,4,11,30
2024-11-30,55362804,55362806,U.S. Subscription to International Monetary Fund:,null,null,null,null,null,null,6,32,32,9509,S,GL,4,2.1.3.1,2025,1,2024,4,11,30
2024-11-30,55362806,55362809,Direct Quota Payments,0.00,0.00,0.00,111629078113.37,111629078113.37,111629078113.37,6,33,33,9510,D,GL,5,2.1.3.1.1,2025,1,2024,4,11,30
2024-11-30,55362806,55362812,Maintenance of Value Adjustments,-1471126822.79,-3524203452.76,1519546649.17,941910993.01,-1111165636.96,-2582292459.75,6,34,34,9511,D,GL,5,2.1.3.1.2,2025,1,2024,4,11,30
2024-11-30,55362804,55362815,Letter of Credit Issued to IMF,28000000.00,-1516000000.00,-1892000000.00,-81066130631.95,-82610130631.95,-82582130631.95,6,35,35,9512,D,GL,4,2.1.3.2,2025,1,2024,4,11,30
2024-11-30,null,55362739,Liability Accounts:,null,null,null,null,null,null,6,1,1,9029,S,GL,1,1,2025,1,2024,4,11,30
2024-11-30,55362771,55362774,Cash and Monetary Assets:,null,null,null,null,null,null,6,23,23,9363,S,GL,2,2.1,2025,1,2024,4,11,30
2024-11-30,null,55362842,Excess of Liabilities (+) or Assets (-),365421848486.30,622985147469.18,380155051553.41,25816807109374.60,26074370408357.40,26439792256843.70,6,47,47,9563,T,GL,1,3,2025,1,2024,4,11,30
2024-11-30,55362774,55362804,Reserve Position on the U.S. Quota in the IMF:,null,null,null,null,null,null,6,31,31,9508,S,GL,3,2.1.3,2025,1,2024,4,11,30
2024-11-30,55362771,55362839,Total Asset Accounts,-166989795139.76,-143683344352.77,92380980049.43,2744908675832.22,2768215126619.21,2601225331479.45,6,46,46,9562,T,GL,2,2.6,2025,1,2024,4,11,30
2024-11-30,55362771,55362834,Net Activity, Direct Loan Financing (See Schedule E),1631459310.71,-7716705794.02,-12405348519.76,1505913771587.99,1496565606483.26,1498197065793.97,6,44,44,9555,D,GL,2,2.4,2025,1,2024,4,11,30
2024-11-30,55362771,55362837,Miscellaneous Asset Accounts,14923143.98,39184142.34,188999076.61,13297911.54,37558909.90,52482053.88,6,45,45,9561,D,GL,2,2.5,2025,1,2024,4,11,30
2024-11-30,55362739,55362758,Accrued Interest Payable to the Public,-17654640492.71,-2500430811.01,-29485849571.13,134069016189.65,149223225871.35,131568585378.64,6,17,17,9320,D,GL,2,1.2,2025,1,2024,4,11,30
2024-11-30,55362739,55362760,Allocations of Special Drawing Rights,-1681578053.17,-4523261184.01,2103121185.36,155795220217.45,152953537086.61,151271959033.44,6,18,18,9347,D,GL,2,1.3,2025,1,2024,4,11,30
2024-11-30,55362739,55362743,Borrowing from the Public:,null,null,null,null,null,null,6,2,2,9030,S,GL,2,1.1,2025,1,2024,4,11,30
