Record Date,Parent ID,Classification ID,Classification Description,Current Month Gross Receipts Amount,Current Month Refund Amount,Current Month Net Receipts Amount,Current Fiscal Year to Date Gross Receipts Amount,Current Fiscal Year to Date Refund Amount,Current Fiscal Year to Date Net Receipts Amount,Prior Fiscal Year to Date Gross Receipts Amount,Prior Fiscal Year to Date Refund Amount,Prior Fiscal Year to Date Net Receipts Amount,Table Number,Source Line Number,Print Order Sequence Number,Line Code Number,Data Type Code,Record Type Code,Sequence Level Number,Sequence Number Code,Fiscal Year,Fiscal Quarter Number,Calendar Year,Calendar Quarter Number,Calendar Month Number,Calendar Day Number
2024-11-30,55362674,55362704,Federal Hospital Insurance Trust Fund:,null,null,null,null,null,null,null,null,null,4,17,17,221,S,RSG,3,3.1.3,2025,1,2024,4,11,30
2024-11-30,55362801,55362807,Universal Service Fund,699062995.11,null,699062995.11,1395724348.18,null,1395724348.18,1353516702.63,null,1353516702.63,4,45,45,807,D,RSG,2,7.2,2025,1,2024,4,11,30
2024-11-30,55362801,55362810,All Other,2932601569.24,650353.23,2931951216.01,4985451969.04,1636450.90,4983815518.14,2500771573.38,4973688.83,2495797884.55,4,46,46,810,D,RSG,2,7.3,2025,1,2024,4,11,30
2024-11-30,55362801,55362813,Total -- Miscellaneous Receipts,3946951111.52,650353.23,3946300758.29,6991633182.04,1636450.90,6989996731.14,4266981131.97,4973688.83,4262007443.14,4,47,47,820,T,RSG,2,7.4,2025,1,2024,4,11,30
2024-11-30,null,55362816,Total -- Receipts,319760162398.58,18005862585.79,301754299812.79,675105117361.48,46580581490.59,628524535870.89,727539287670.43,49275710969.48,678263576700.95,4,48,48,830,T,SL,1,8,2025,1,2024,4,11,30
2024-11-30,55362816,55362835,Total -- On-Budget,225042162398.58,18005862585.79,207036299812.79,492776117361.48,46580581490.59,446195535870.89,558116287670.43,49275710969.48,508840576700.95,4,49,49,840,T,SL,2,8.1,2025,1,2024,4,11,30
2024-11-30,55362674,55362721,Railroad Retirement:,null,null,null,null,null,null,null,null,null,4,21,21,230,S,RSG,3,3.1.4,2025,1,2024,4,11,30
2024-11-30,55362729,55362735,Railroad Unemployment Taxes,310054.15,null,310054.15,8455677.56,null,8455677.56,70558407.79,null,70558407.79,4,28,28,255,D,RSG,3,3.2.3,2025,1,2024,4,11,30
2024-11-30,55362729,55362740,Total -- Unemployment Insurance,2624367006.14,5325297.55,2619041708.59,5778209587.07,9698649.89,5768510937.18,6177166344.21,4801852.35,6172364491.86,4,29,29,269,T,RSG,3,3.2.4,2025,1,2024,4,11,30
2024-11-30,55362672,55362741,Other Retirement:,null,null,null,null,null,null,null,null,null,4,30,30,270,S,RSG,2,3.3,2025,1,2024,4,11,30
2024-11-30,55362741,55362762,Federal Employees' Retirement--Employee Share,650068355.00,null,650068355.00,1356371968.29,null,1356371968.29,1248929013.62,null,1248929013.62,4,31,31,279,D,RSG,3,3.3.1,2025,1,2024,4,11,30
2024-11-30,null,55362793,Estate and Gift Taxes,2303396642.89,59248760.92,2244147881.97,5174500305.56,153385659.08,5021114646.48,6953274282.67,171932289.77,6781341992.90,4,41,41,350,D,RSG,1,5,2025,1,2024,4,11,30
2024-11-30,null,55362797,Customs Duties,7373633420.13,661764382.17,6711869037.96,15321668913.37,1312542899.16,14009126014.21,14009253216.18,810309533.10,13198943683.08,4,42,42,405,D,RSG,1,6,2025,1,2024,4,11,30
2024-11-30,null,55362801,Miscellaneous Receipts:,null,null,null,null,null,null,null,null,null,4,43,43,800,S,RSG,1,7,2025,1,2024,4,11,30
2024-11-30,55362801,55362803,Deposit of Earnings, Federal Reserve System,315286547.17,null,315286547.17,610456864.82,null,610456864.82,412692855.96,null,412692855.96,4,44,44,805,D,RSG,2,7.1,2025,1,2024,4,11,30
2024-11-30,55362816,55362840,Total -- Off-Budget,94718000000.00,null,94718000000.00,182329000000.00,null,182329000000.00,169423000000.00,null,169423000000.00,4,50,50,850,T,SL,2,8.2,2025,1,2024,4,11,30
2024-11-30,55362775,55362788,Black Lung Disability Trust Fund,39718000.00,null,39718000.00,45966000.00,null,45966000.00,36371000.00,null,36371000.00,4,39,39,313,D,RSG,2,4.4,2025,1,2024,4,11,30
