Record Date,Parent ID,Classification ID,Classification Description,Current Month Gross Receipts Amount,Current Month Gross Outlay Amount,Current Month Deficit Surplus Amount,Table Number,Source Line Number,Print Order Sequence Number,Line Code Number,Data Type Code,Record Type Code,Sequence Level Number,Sequence Number Code,Fiscal Year,Fiscal Quarter Number,Calendar Year,Calendar Quarter Number,Calendar Month Number,Calendar Day Number
2024-11-30,null,55362602,FY 2024,null,null,null,1,1,1,10,S,SL,1,1,2025,1,2024,4,11,30
2024-11-30,55362602,55362614,October,403433540919.80,469997092049.53,66563551129.73,1,2,2,20,D,MTH,2,1.1,2025,1,2024,4,11,30
2024-11-30,55362602,55362615,November,274830035781.15,588842038068.24,314012002287.09,1,3,3,30,D,MTH,2,1.2,2025,1,2024,4,11,30
2024-11-30,55362602,55362618,December,429310654566.08,558664769130.32,129354114564.24,1,4,4,40,D,MTH,2,1.3,2025,1,2024,4,11,30
2024-11-30,55362602,55362620,January,477319655457.16,499250008026.88,21930352569.72,1,5,5,50,D,MTH,2,1.4,2025,1,2024,4,11,30
2024-11-30,55362602,55362623,February,271126068759.09,567400720600.28,296274651841.19,1,6,6,60,D,MTH,2,1.5,2025,1,2024,4,11,30
2024-11-30,55362602,55362625,March,332078814395.98,568634767671.20,236555953275.22,1,7,7,70,D,MTH,2,1.6,2025,1,2024,4,11,30
2024-11-30,55362602,55362627,April,776198093176.94,566668786551.61,-209529306625.33,1,8,8,80,D,MTH,2,1.7,2025,1,2024,4,11,30
2024-11-30,55362602,55362629,May,323646986978.40,670777880670.05,347130893691.65,1,9,9,90,D,MTH,2,1.8,2025,1,2024,4,11,30
2024-11-30,55362602,55362631,June,466254918407.16,537220210883.50,70965292476.34,1,10,10,100,D,MTH,2,1.9,2025,1,2024,4,11,30
2024-11-30,55362602,55362633,July,330377428300.09,574118515597.52,243741087297.43,1,11,11,110,D,MTH,2,1.10,2025,1,2024,4,11,30
2024-11-30,55362602,55362636,August,306539737019.32,686620142453.82,380080405434.50,1,12,12,120,D,MTH,2,1.11,2025,1,2024,4,11,30
2024-11-30,55362602,55362638,September,526988280615.09,462290342702.83,-64697937912.26,1,13,13,130,D,MTH,2,1.12,2025,1,2024,4,11,30
2024-11-30,55362602,55362640,Year-to-Date,4918104214376.26,6750485274405.78,1832381060029.52,1,14,14,140,T,SL,2,1.13,2025,1,2024,4,11,30
2024-11-30,null,55362643,FY 2025,null,null,null,1,15,15,150,S,SL,1,2,2025,1,2024,4,11,30
2024-11-30,55362643,55362646,October,326770236058.10,584220579250.01,257450343191.91,1,16,16,160,D,MTH,2,2.1,2025,1,2024,4,11,30
2024-11-30,55362643,55362648,November,301754299812.79,668517364180.86,366763064368.07,1,17,17,170,D,MTH,2,2.2,2025,1,2024,4,11,30
2024-11-30,55362643,55362650,Year-to-Date,628524535870.89,1252737943430.87,624213407559.98,1,18,18,280,T,SL,2,2.3,2025,1,2024,4,11,30
2024-10-31,55269275,55269284,October,326770236058.10,584220579250.01,257450343191.91,1,16,16,160,D,MTH,2,2.1,2025,1,2024,4,10,31
2024-10-31,55269275,55269288,Year-to-Date,326770236058.10,584220579250.01,257450343191.91,1,17,17,280,T,SL,2,2.2,2025,1,2024,4,10,31
2024-10-31,55269168,55269253,July,330377428300.09,574118515597.52,243741087297.43,1,11,11,110,D,MTH,2,1.10,2025,1,2024,4,10,31
2024-10-31,55269168,55269257,August,306539737019.32,686620142453.82,380080405434.50,1,12,12,120,D,MTH,2,1.11,2025,1,2024,4,10,31
2024-10-31,55269168,55269262,September,526988280615.09,462290342702.83,-64697937912.26,1,13,13,130,D,MTH,2,1.12,2025,1,2024,4,10,31
2024-10-31,55269168,55269266,Year-to-Date,4918104214376.26,6750485274405.78,1832381060029.52,1,14,14,140,T,SL,2,1.13,2025,1,2024,4,10,31
